id,hist_current,hist_xday,hist_30dpd,hist_60dpd,hist_npl,percentage,all_hist_current,all_hist_xday,all_hist_30dpd,all_hist_60dpd,all_hist_npl,all_hist_percentage,STATUS
253,1,3,0,0,0,0.25,1,3,0,0,0,0.25,0
254,1,3,0,0,0,0.25,1,3,0,0,0,0.25,0
255,1,3,0,0,0,0.25,1,3,0,0,0,0.25,0
256,1,0,0,0,0,1.0,4,8,0,0,0,0.3333,0
257,22,0,0,0,0,1.0,28,0,0,0,0,1.0,1
258,22,0,0,0,0,1.0,28,0,0,0,0,1.0,1
259,21,3,0,0,0,0.875,41,8,0,0,0,0.8367,1
260,2,4,2,0,0,0.25,23,5,2,0,0,0.7667,0
261,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
262,1,0,0,0,0,1.0,4,8,0,0,0,0.3333,0
263,11,0,0,0,0,1.0,20,0,0,0,0,1.0,1
264,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
265,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
266,20,0,0,0,0,1.0,20,0,0,0,0,1.0,0
267,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
268,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
269,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
270,8,0,0,0,0,1.0,8,0,0,0,0,1.0,1
271,5,0,0,0,0,1.0,9,0,0,0,0,1.0,1
272,3,2,0,0,0,0.6,5,2,0,0,0,0.7143,1
273,3,3,0,0,0,0.5,3,3,0,0,0,0.5,0
274,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
275,22,0,0,0,0,1.0,28,0,0,0,0,1.0,1
276,3,0,0,0,0,1.0,14,1,0,0,0,0.9333,1
277,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
278,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
279,0,0,0,0,2,0.0,2,5,0,0,2,0.2222,0
280,6,1,0,0,0,0.8571,6,1,0,0,0,0.8571,1
281,16,14,0,0,0,0.5333,51,20,0,0,0,0.7183,1
282,8,0,0,0,0,1.0,8,0,0,0,0,1.0,1
283,2,1,0,0,0,0.6667,2,1,0,0,0,0.6667,1
284,2,0,0,0,0,1.0,5,0,0,0,0,1.0,1
285,29,7,0,0,0,0.8056,49,12,0,0,0,0.8033,1
286,21,3,0,0,0,0.875,41,8,0,0,0,0.8367,1
287,8,0,0,0,0,1.0,8,0,0,0,0,1.0,1
288,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
289,20,0,0,0,0,1.0,20,0,0,0,0,1.0,0
